OBJECTID,GL_String,Fund,Fund_Name,Department,Department_Name,Object,Object_Name,Adopted_Budget,Fiscal_Year
2078,6200-70-00-7010-701010-000000-000-515160,6200,6200 WS Operating,70,70 Charlotte Water,515160,515160 Retiree Insurance Premium,7925,2021
2079,6200-70-00-7010-701014-000000-000-515160,6200,6200 WS Operating,70,70 Charlotte Water,515160,515160 Retiree Insurance Premium,6688,2021
2080,6200-70-00-7010-701060-000000-000-515160,6200,6200 WS Operating,70,70 Charlotte Water,515160,515160 Retiree Insurance Premium,6437,2021
2081,6200-70-00-7080-708020-000000-000-515160,6200,6200 WS Operating,70,70 Charlotte Water,515160,515160 Retiree Insurance Premium,1856,2021
2082,6200-70-72-7040-704091-000000-000-515160,6200,6200 WS Operating,70,70 Charlotte Water,515160,515160 Retiree Insurance Premium,1237,2021
2083,1000-80-80-8010-000000-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,359670,2021
2084,6300-80-51-8070-807010-000000-000-515160,6300,6300 SW Operating,80,80 General Services,515160,515160 Retiree Insurance Premium,164138,2021
2085,1000-80-80-8060-000000-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,101460,2021
2086,1000-80-11-8094-809420-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,99762,2021
2087,1000-80-80-8040-801580-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,72625,2021
2088,1000-80-80-8090-809013-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,59826,2021
2089,1000-80-80-8090-809014-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,59465,2021
2090,1000-80-80-8090-809015-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,46823,2021
2091,1000-80-80-8030-000000-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,38239,2021
2092,1000-80-80-8020-000000-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,35156,2021
2093,1000-80-80-8090-809010-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,30015,2021
2094,1000-80-80-8045-804770-804012-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,26572,2021
2095,1000-80-80-8090-809011-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,23899,2021
2096,1000-80-80-8090-809012-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,21792,2021
2097,1000-80-11-8094-809430-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,19685,2021
2098,1000-80-80-8060-800810-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,18349,2021
2099,1000-80-80-8090-809016-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,16447,2021
2100,6300-80-51-8070-809680-000000-000-515160,6300,6300 SW Operating,80,80 General Services,515160,515160 Retiree Insurance Premium,16138,2021
2101,1000-80-11-8094-809410-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,8223,2021
2102,1000-80-80-8045-805440-804012-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,8223,2021
2103,1000-80-61-8085-000000-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,4009,2021
2104,1000-80-80-8090-809018-000000-000-515160,1000,1000 General Fund,80,80 General Services,515160,515160 Retiree Insurance Premium,3443,2021
2105,6100-41-41-4150-415010-000000-000-515170,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515170,515170 Empl Life Insu Premium,44748,2021
2106,6100-41-41-4150-415012-000000-000-515170,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515170,515170 Empl Life Insu Premium,12816,2021
2107,6100-41-41-4150-415011-000000-000-515170,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515170,515170 Empl Life Insu Premium,9658,2021
2108,6100-41-41-4150-415013-000000-000-515170,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515170,515170 Empl Life Insu Premium,648,2021
2109,1000-17-13-1710-000000-000000-000-515180,1000,1000 General Fund,17,17 Human Resources,515180,515180 Unemploymnt Comp Or Taxes,8000,2021
2110,1000-19-11-1945-000000-000000-000-515180,1000,1000 General Fund,19,19 Finance,515180,515180 Unemploymnt Comp Or Taxes,10000,2021
2111,1000-31-30-3110-000000-000000-000-515180,1000,1000 General Fund,31,31 Fire,515180,515180 Unemploymnt Comp Or Taxes,16000,2021
2112,6100-41-41-4150-415010-000000-000-515180,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515180,515180 Unemploymnt Comp Or Taxes,67579,2021
2113,6100-41-41-4150-415012-000000-000-515180,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515180,515180 Unemploymnt Comp Or Taxes,19398,2021
2114,6100-41-41-4150-415013-000000-000-515180,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515180,515180 Unemploymnt Comp Or Taxes,7786,2021
2115,6100-41-41-4150-415011-000000-000-515180,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515180,515180 Unemploymnt Comp Or Taxes,1513,2021
2116,1000-10-13-1010-000000-000000-000-515190,1000,1000 General Fund,10,10 Mayor & City Council,515190,515190 401K Retirement,8153,2021
2117,1000-11-13-1110-111010-000000-000-515190,1000,1000 General Fund,11,11 City Manager,515190,515190 401K Retirement,52463,2021
2118,1000-12-13-1200-000000-000000-000-515190,1000,1000 General Fund,12,12 City Clerk,515190,515190 401K Retirement,17539,2021
2119,1000-13-13-1300-000000-000000-000-515190,1000,1000 General Fund,13,13 City Attorney,515190,515190 401K Retirement,140364,2021
2120,1000-14-13-1400-000000-000000-000-515190,1000,1000 General Fund,14,14 Budget & Evaluation,515190,515190 401K Retirement,43595,2021
2121,1000-17-13-1710-000000-000000-000-515190,1000,1000 General Fund,17,17 Human Resources,515190,515190 401K Retirement,81075,2021
2122,1000-17-13-1730-000000-000000-000-515190,1000,1000 General Fund,17,17 Human Resources,515190,515190 401K Retirement,23501,2021
2123,1000-17-13-1720-000000-000000-000-515190,1000,1000 General Fund,17,17 Human Resources,515190,515190 401K Retirement,16461,2021
2124,1000-17-13-1740-000000-000000-000-515190,1000,1000 General Fund,17,17 Human Resources,515190,515190 401K Retirement,13144,2021
2125,1000-18-11-1840-184030-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,98386,2021
2126,1000-18-13-1820-182050-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,74111,2021
2127,1000-18-13-1820-182010-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,50088,2021
2128,1000-18-11-1840-184010-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,46687,2021
2129,1000-18-13-1810-181070-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,38116,2021
2130,1000-18-11-1830-183010-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,32046,2021
2131,1000-18-11-1830-183040-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,28558,2021
2132,1000-18-13-1820-182040-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,26200,2021
2133,1000-18-11-1840-184020-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,26158,2021
2134,1000-18-11-1850-185030-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,24935,2021
2135,1000-18-13-1810-181060-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,23011,2021
2136,1000-18-13-1820-182030-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,22397,2021
2137,1000-18-13-1820-182060-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,22075,2021
2138,1000-18-13-1810-181030-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,16837,2021
2139,1000-18-11-1830-183050-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,16561,2021
2140,1000-18-11-1850-185040-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,16440,2021
2141,1000-18-11-1830-183070-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,12591,2021
2142,1000-18-13-1860-186020-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,12214,2021
2143,1000-18-13-1810-181040-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,10711,2021
2144,1000-18-11-1830-183020-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,9792,2021
2145,1000-18-11-1830-183060-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,5882,2021
2146,1000-18-11-1830-183030-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,4812,2021
2147,1000-18-13-1810-181010-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,3818,2021
2148,1000-18-11-1850-185050-000000-000-515190,1000,1000 General Fund,18,18 Innovation and Technology,515190,515190 401K Retirement,2382,2021
2149,7100-19-00-1960-000000-000000-000-515190,7100,7100 Risk Mgmt Operating,19,19 Finance,515190,515190 401K Retirement,47202,2021
2150,1000-19-11-1942-000000-000000-000-515190,1000,1000 General Fund,19,19 Finance,515190,515190 401K Retirement,40594,2021
2151,1000-19-11-1947-000000-000000-000-515190,1000,1000 General Fund,19,19 Finance,515190,515190 401K Retirement,37797,2021
2152,1000-19-11-1945-000000-000000-000-515190,1000,1000 General Fund,19,19 Finance,515190,515190 401K Retirement,36163,2021
2153,1000-19-11-1943-000000-000000-000-515190,1000,1000 General Fund,19,19 Finance,515190,515190 401K Retirement,24713,2021
2154,1000-19-11-1941-000000-000000-000-515190,1000,1000 General Fund,19,19 Finance,515190,515190 401K Retirement,20002,2021
2155,1000-19-11-1946-000000-000000-000-515190,1000,1000 General Fund,19,19 Finance,515190,515190 401K Retirement,19509,2021
2156,7100-19-00-1960-000000-196010-000-515190,7100,7100 Risk Mgmt Operating,19,19 Finance,515190,515190 401K Retirement,4539,2021
2157,1000-20-13-2010-000000-000000-000-515190,1000,1000 General Fund,20,20 Charlotte Communications,515190,515190 401K Retirement,52790,2021
2158,1000-20-13-2020-000000-000000-000-515190,1000,1000 General Fund,20,20 Charlotte Communications,515190,515190 401K Retirement,24792,2021
2159,1000-21-13-2100-000000-000000-000-515190,1000,1000 General Fund,21,21 Community Relations,515190,515190 401K Retirement,33253,2021
2160,1000-22-13-2200-000000-000000-000-515190,1000,1000 General Fund,22,22 Internal Audit,515190,515190 401K Retirement,27866,2021
2161,1000-30-30-3020-302045-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,246668,2021
2162,1000-30-30-3040-304031-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,106493,2021
2163,1000-30-30-3020-302051-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,59576,2021
2164,1000-30-30-3020-302052-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,55228,2021
2165,1000-30-30-3020-302046-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,41891,2021
2166,1000-30-30-3020-302040-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,39711,2021
2167,1000-30-30-3020-302035-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,33675,2021
2168,1000-30-30-3020-302050-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,30108,2021
2169,1000-30-30-3010-301022-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,19549,2021
2170,1000-30-30-3010-301001-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,15040,2021
2171,1000-30-30-3030-303025-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,13276,2021
2172,1000-30-30-3030-303021-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,12452,2021
2173,1000-30-30-3010-301024-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,8458,2021
2174,1000-30-30-3020-302001-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,7929,2021
2175,1000-30-30-3060-306001-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,7739,2021
2176,1000-30-30-3010-301004-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,7695,2021
2177,1000-30-30-3040-304032-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,7624,2021
2178,1000-30-30-3040-304018-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,6853,2021
2179,1000-30-30-3060-306006-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,6593,2021
2180,1000-30-30-3050-305035-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,6298,2021
2181,1000-30-30-3020-302031-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,5951,2021
2182,1000-30-30-3050-305002-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,5634,2021
2183,1000-30-30-3020-302021-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,5584,2021
2184,1000-30-30-3030-303002-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,4467,2021
2185,1000-30-30-3050-305017-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,4375,2021
2186,1000-30-30-3020-302041-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,4328,2021
2187,1000-30-30-3020-302042-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,4124,2021
2188,1000-30-30-3030-303024-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,3495,2021
2189,1000-30-30-3030-303011-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,3446,2021
2190,1000-30-30-3020-302024-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,2620,2021
2191,1000-30-30-3060-306011-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,2190,2021
2192,1000-30-30-3060-306043-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,2015,2021
2193,1000-30-30-3050-305032-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1641,2021
2194,1000-30-30-3040-304033-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1634,2021
2195,1000-30-30-3050-305022-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1623,2021
2196,1000-30-30-3010-301002-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1581,2021
2197,1000-30-30-3050-305001-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1571,2021
2198,1000-30-30-3050-305031-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1570,2021
2199,1000-30-30-3030-303012-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1569,2021
2200,1000-30-30-3050-305021-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1562,2021
2201,1000-30-30-3050-305025-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1502,2021
2202,1000-30-30-3050-305024-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1479,2021
2203,1000-30-30-3050-305015-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1441,2021
2204,1000-30-30-3040-304034-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1402,2021
2205,1000-30-30-3050-305034-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1389,2021
2206,1000-30-30-3050-305018-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1354,2021
2207,1000-30-30-3060-306044-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1341,2021
2208,1000-30-30-3050-305016-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1106,2021
2209,1000-30-30-3050-305023-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1106,2021
2210,1000-30-30-3050-305033-000000-000-515190,1000,1000 General Fund,30,30 Charlotte-Mecklenburg Police,515190,515190 401K Retirement,1106,2021
2211,1000-31-30-3120-000000-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,81870,2021
2212,1000-31-30-3130-000000-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,58102,2021
2213,1000-31-30-3150-000000-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,25469,2021
2214,1000-31-30-3140-000000-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,13923,2021
2215,1000-31-30-3180-000000-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,12591,2021
2216,1000-31-30-3110-311010-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,10335,2021
2217,1000-31-30-3110-311022-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,8456,2021
2218,1000-31-30-3110-311060-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,7680,2021
2219,1000-31-30-3170-000000-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,6674,2021
2220,1000-31-30-3110-311040-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,6464,2021
2221,1000-31-30-3110-311025-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,6186,2021
2222,1000-31-30-3110-311030-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,5301,2021
2223,1000-31-30-3190-000000-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,3919,2021
2224,1000-31-30-3120-000000-310985-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,1945,2021
2225,1000-31-30-3110-311070-000000-000-515190,1000,1000 General Fund,31,31 Fire,515190,515190 401K Retirement,1396,2021
2226,6000-40-40-4040-404010-000000-985-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,217421,2021
2227,6000-40-40-4030-403020-000000-978-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,186034,2021
2228,6000-40-40-4030-403050-000000-985-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,142584,2021
2229,6000-40-40-4040-404020-000000-985-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,96214,2021
2230,6000-40-40-4070-407000-000000-985-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,94559,2021
2231,6000-40-40-4030-403010-000000-985-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,92537,2021
2232,6000-40-40-4020-402000-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,76081,2021
2233,6000-40-40-4060-406000-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,60361,2021
2234,6000-40-40-4020-402020-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,43732,2021
2235,6000-40-40-4040-404030-000000-985-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,43554,2021
2236,6000-40-40-4010-401000-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,26401,2021
2237,6000-40-40-4050-405000-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,21819,2021
2238,6000-40-40-4030-403040-000000-974-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,21480,2021
2239,6000-40-40-4010-401030-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,19840,2021
2240,6000-40-40-4010-401050-000000-999-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,17206,2021
2241,6000-40-40-4050-405020-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,17048,2021
2242,6000-40-40-4010-401014-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,16476,2021
2243,6000-40-40-4030-403080-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,15466,2021
2244,6000-40-40-4040-404050-000000-985-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,15234,2021
2245,6000-40-40-4010-401013-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,14594,2021
2246,6000-40-40-4055-405510-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,10425,2021
2247,6000-40-40-4055-405530-000000-974-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,10317,2021
2248,6000-40-40-4050-405030-000000-974-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,9971,2021
2249,6000-40-40-4030-403011-000000-972-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,9764,2021
2250,6000-40-40-4040-404000-000000-985-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,9625,2021
2251,6000-40-40-4010-401010-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,9271,2021
2252,6000-40-40-4010-401020-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,8701,2021
2253,6000-40-40-4030-403000-000000-985-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,8240,2021
2254,6000-40-40-4010-401011-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,7214,2021
2255,6000-40-40-4010-401012-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,7182,2021
2256,6000-40-40-4030-403040-000000-975-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,7136,2021
2257,6000-40-40-4055-405540-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,6607,2021
2258,6000-40-40-4040-404040-000000-974-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,6340,2021
2259,6000-40-40-4055-405500-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,4863,2021
2260,6000-40-40-4030-403090-000000-985-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,4622,2021
2261,6000-40-40-4055-405520-000000-981-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,4153,2021
2262,6000-40-40-4010-401050-000000-982-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,2440,2021
2263,6000-40-40-4050-405000-000000-985-515190,6000,6000 Airport Operating,40,40 Aviation,515190,515190 401K Retirement,2218,2021
2264,6100-41-41-4150-415010-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,620671,2021
2265,6100-41-41-4150-415012-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,197568,2021
2266,6100-41-41-4150-415050-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,163032,2021
2267,6100-41-41-4160-416010-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,152115,2021
2268,6100-41-41-4160-416012-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,125656,2021
2269,6100-41-41-4160-416013-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,92841,2021
2270,6100-41-41-4160-416020-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,65309,2021
2271,6100-41-41-4130-413001-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,55996,2021
2272,6100-41-41-4110-411010-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,53767,2021
2273,6100-41-41-4170-417010-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,45506,2021
2274,6100-41-41-4160-416011-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,37857,2021
2275,6100-41-41-4140-414030-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,33612,2021
2276,6100-41-41-4140-414010-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,27306,2021
2277,6100-41-41-4140-414020-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,26458,2021
2278,6100-41-41-4190-419010-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,24339,2021
2279,6100-41-41-4180-418010-000000-000-515190,6100,6100 CATS Operating,41,41 Charlotte Area Transit System,515190,515190 401K Retirement,22636,2021
