X,Y,OBJECTID,CRSH_ID,DATE_VAL_Y,DATE_VAL_M,DATE_VAL_1,DATE_VAL_D,DAY_OF_WEE,DAY_OF_W_1,MILT_TIME,CASE_NUM,CRSH_TYPE_,CRASH_TYPE,CRSH_LEVL,PRIMARY_CA,PRIMARY__1,SECONDARY_,SECONDARY1,LATITUDE,LONGITUDE,StreetID
1478462.84835601,523772.86273101,3903,821152,2016,12,December,2,6,Friday,1529,20161202152900,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.176572,-80.745423,
1468572.527106,547976.217106014,3904,979155,2019,9,September,20,6,Friday,1422,20190919142200,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.242582,-80.779968,
1483431.31773101,558078.077106014,3905,937190,2019,3,March,8,6,Friday,1842,20190308184200,14,Pedestrian,2,7,Exceeded safe speed for conditions,0, ,35.271056,-80.7308,
1426880.02023101,547674.996481001,3906,759036,2016,4,April,7,5,Thursday,205,20160407020500,27,Head on,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.23962,-80.91956,
1490561.13210601,572898.373356014,3907,888062,2018,5,May,30,4,Wednesday,1620,20180530162100,24,"Left turn, different roadways",2,4,Disregarded traffic signals,0, ,35.31211,-80.70777,
1399608.86023101,497155.477106005,3908,860837,2017,11,November,22,4,Wednesday,2134,20171122213400,14,Pedestrian,1,0, ,0, ,35.099353,-81.007454,
1450264.54648101,548926.083981007,3909,778612,2016,8,August,26,6,Friday,1200,20160816120000,14,Pedestrian,2,0, ,0, ,35.244274,-80.841334,
1425612.39648101,539219.48773101,3910,1027230,2020,6,June,14,1,Sunday,1742,20200614174200,21,"Rear end, slow or stop",1,0,No contributing circumstance indicated,0, ,35.216324,-80.923256,
1481720.25523101,545619.052106008,3911,884345,2018,2,February,4,1,Sunday,223,20180204022300,23,"Left turn, same roadway",1,3,Disregarded other traffic signs,0, ,35.236746,-80.735802,
1423821.10023101,557783.313356012,3912,922195,2018,12,December,13,5,Thursday,608,20181213060800,1,Ran off road right,2,30,Alcohol use,0, ,35.267226,-80.930461,
1447584.37960601,559061.182106003,3913,791544,2016,11,November,9,4,Wednesday,822,20161109082200,1,Ran off road right,1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.27198,-80.850942,
1437703.292731,575362.010856003,3914,867984,2018,2,February,7,4,Wednesday,1817,20180207181700,26,"Right turn, different roadways",2,30,Alcohol use,0, ,35.31625,-80.885079,
1489221.119606,530406.566481009,3915,1008945,2020,3,March,13,6,Friday,1942,20200313194200,24,"Left turn, different roadways",2,19,Failed to yield right of way,0, ,35.195311,-80.709808,
1480627.214606,533343.715231001,3916,998961,2020,1,January,25,7,Saturday,2350,20200125235300,30,Angle,2,0,No contributing circumstance indicated,0, ,35.20297,-80.738742,
1447816.792731,549073.151481003,3917,1062762,2020,4,April,17,6,Friday,2121,20200417212100,1,Ran off road right,1,8,Failure to reduce speed,0, ,35.244553,-80.84954,
1485035.183356,540736.449606001,3918,956145,2018,12,December,11,3,Tuesday,2033,20181211203300,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.223491,-80.724418,
1452879.10835601,532976.80023101,3919,806754,2017,1,January,9,2,Monday,1656,20170109165600,2,Ran off road left,2,11,Crossed centerline/going wrong way,0, ,35.200591,-80.831593,
1425274.10960601,547931.421481013,3920,1035617,2020,6,June,17,4,Wednesday,2021,20200614202100,2,Ran off road left,1,6,Exceeded authorized speed limit,0, ,35.240239,-80.924954,
1479060.78710601,533429.435856014,3921,755585,2016,3,March,18,6,Friday,1516,20160318151600,14,Pedestrian,2,19,Failed to yield right of way,0, ,35.20313,-80.74399,
1484288.229606,513332.048356012,3922,817374,2017,4,April,19,4,Wednesday,1234,20170419123400,21,"Rear end, slow or stop",2,0,No contributing circumstance indicated,0, ,35.148168,-80.725324,
1477226.35773101,571506.603356004,3923,1050515,2020,10,October,10,7,Saturday,1402,20201010140200,30,Angle,2,30,Alcohol use,0, ,35.307648,-80.75238,
1492641.043981,573542.984606013,3924,973936,2019,9,September,27,6,Friday,641,20190927064100,24,"Left turn, different roadways",2,19,Failed to yield right of way,0, ,35.313979,-80.700836,
1481575.29648101,551518.412106007,3925,1010887,2020,2,February,4,3,Tuesday,1331,20200201133100,2,Ran off road left,1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.252946,-80.736633,
1431748.949606,552682.147731006,3926,993424,2019,10,October,4,6,Friday,734,20191004073400,30,Angle,2,19,Failed to yield right of way,0, ,35.253633,-80.903578,
1449648.16335601,572060.930856004,3927,1029000,2020,6,June,13,7,Saturday,2250,20200613225000,14,Pedestrian,1,20,Inattention,0, ,35.307798,-80.844838,
1432087.73960601,566301.438356012,3928,1014220,2020,2,February,17,2,Monday,1039,20200217103900,24,"Left turn, different roadways",1,19,Failed to yield right of way,0, ,35.291065,-80.903318,
1412245.059606,534789.355856001,3929,894203,2018,7,July,6,6,Friday,1154,20180706115400,24,"Left turn, different roadways",2,19,Failed to yield right of way,0, ,35.203434,-80.967709,
1435378.637106,557068.603981003,3930,766214,2016,2,February,1,2,Monday,2018,20160201201800,21,"Rear end, slow or stop",2,2,Disregarded stop sign,0, ,35.2658739,-80.8917019,
1455361.494606,544689.570856005,3931,1030124,2020,7,July,2,5,Thursday,1653,20200702165300,14,Pedestrian,2,33,Unable to determine,0, ,35.232894,-80.824005,
1420838.54585601,557838.923356012,3932,833691,2016,9,September,23,6,Friday,1830,20160923183000,1,Ran off road right,1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.267219,-80.940455,
1443404.356481,534629.927731007,3933,833669,2016,1,January,17,1,Sunday,1706,20160117170600,14,Pedestrian,1,30,Alcohol use,0, ,35.204648,-80.863408,
1478480.899606,542447.185231,3934,1053759,2020,9,September,25,6,Friday,2154,20200925215400,2,Ran off road left,1,7,Exceeded safe speed for conditions,0, ,35.227876,-80.746462,
1431036.417731,528555.309606001,3935,1036037,2020,7,July,21,3,Tuesday,1615,20200721153600,24,"Left turn, different roadways",2,4,Disregarded traffic signals,0, ,35.187315,-80.904414,
1448966.87648101,542775.186481014,3936,754982,2016,3,March,14,2,Monday,1554,20160314155400,30,Angle,2,4,Disregarded traffic signals,0, ,35.2273101,-80.8452966,
1503381.56273101,535567.70585601,3937,835632,2017,5,May,27,7,Saturday,1450,20170527145000,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.210151,-80.662705,
1418723.76460601,505960.067106009,3938,939886,2019,1,January,5,7,Saturday,346,20190105034600,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.124586,-80.944135,
1440563.05210601,539457.742731005,3939,946176,2019,4,April,18,5,Thursday,736,20190418073600,23,"Left turn, same roadway",2,9,Improper turn,0, ,35.217764,-80.873223,
1431748.47148101,552688.345231012,3940,827615,2017,3,March,16,5,Thursday,1513,20170316151300,30,Angle,1,19,Failed to yield right of way,0, ,35.25365,-80.90358,
1486451.09398101,531706.198981002,3941,802149,2017,1,January,15,1,Sunday,1813,20170115181300,14,Pedestrian,1,0, ,0, ,35.19875,-80.719154,
1458064.70148101,490297.810856014,3942,779951,2016,9,September,2,6,Friday,1621,20160902162100,1,Ran off road right,2,7,Exceeded safe speed for conditions,0, ,35.083603,-80.81163,
1481665.95710601,516958.376481012,3943,915842,2018,10,October,26,6,Friday,2036,20181026203600,14,Pedestrian,1,6,Exceeded authorized speed limit,0, ,35.158005,-80.734307,
1468865.340231,492848.633356005,3944,1011112,2020,3,March,27,6,Friday,2255,20200327225700,20,Parked motor vehicle,2,20,Inattention,0, ,35.091147,-80.775685,
1433254.664606,541996.493356004,3945,832512,2017,3,March,4,7,Saturday,56,20170304005600,1,Ran off road right,1,33,Unable to determine,0, ,35.224357,-80.897851,
1435504.17085601,526069.290856004,3946,939051,2018,9,September,2,1,Sunday,740,20180902074100,30,Angle,1,4,Disregarded traffic signals,0, ,35.18072,-80.889305,
1461115.32960601,552250.360231012,3947,829299,2017,7,July,1,7,Saturday,558,20170701055800,13,Other non-collision*,2,0,No contributing circumstance indicated,0, ,35.253954,-80.8052,
1459258.45960601,540221.395231009,3948,858145,2017,10,October,16,2,Monday,12,20171016001200,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.220815,-80.810684,
1458672.808981,549351.887106001,3949,825947,2017,6,June,9,6,Friday,50,20170609005000,15,Pedalcyclist,1,0, ,0, ,35.245869,-80.813203,
1410209.400856,497039.074606001,3950,810824,2017,1,January,24,3,Tuesday,2204,20170124220400,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.099617,-80.972012,
1449682.789606,552091.381481007,3951,761621,2016,4,April,30,7,Saturday,350,20160430035000,21,"Rear end, slow or stop",2,8,Failure to reduce speed,0, ,35.25294,-80.843479,
1460593.558356,521259.803981006,3952,867752,2017,7,July,30,1,Sunday,2146,20170730214600,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.16879,-80.80506,
1440218.25460601,536527.063981012,3953,916362,2018,11,November,11,1,Sunday,1340,20181111134000,30,Angle,2,2,Disregarded stop sign,0, ,35.209695,-80.874192,
1470920.26773101,550482.600231007,3954,969089,2019,8,August,24,7,Saturday,854,20190824085400,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.249583,-80.772256,
1453110.180231,549091.835856006,3955,897339,2018,7,July,6,6,Friday,950,20180706095000,24,"Left turn, different roadways",2,19,Failed to yield right of way,0, ,35.244874,-80.831815,
1464548.449606,558395.885231003,3956,790945,2016,11,November,18,6,Friday,10,20161118001300,23,"Left turn, same roadway",2,0,No contributing circumstance indicated,0, ,35.271008,-80.794074,
1466001.50710601,483159.827731013,3957,808374,2017,1,January,18,4,Wednesday,2049,20170118204900,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.064388,-80.784675,
1421361.352106,548897.578981012,3958,846140,2017,10,October,4,4,Wednesday,754,20171004075400,28,"Sideswipe, same direction",1,12,Improper lane change,0, ,35.242684,-80.938119,
1480812.839606,574189.928356007,3959,874645,2018,3,March,14,4,Wednesday,1720,20180314172000,28,"Sideswipe, same direction",2,20,Inattention,0, ,35.315193,-80.740518,
1481408.013356,550200.376481012,3960,1001283,2020,2,February,6,5,Thursday,1810,20200206181000,27,Head on,2,33,Unable to determine,0, ,35.249317,-80.737116,
1480298.83335601,580226.536481008,3961,939310,2019,3,March,21,5,Thursday,1703,20190321170300,23,"Left turn, same roadway",2,33,Unable to determine,0, ,35.331752,-80.742596,
1474891.02085601,526941.163356006,3962,938151,2019,3,March,13,4,Wednesday,1820,20190313182000,28,"Sideswipe, same direction",2,19,Failed to yield right of way,0, ,35.185103,-80.757562,
1449622.58398101,555054.808356002,3963,799836,2017,1,January,1,1,Sunday,20,20170101002000,23,"Left turn, same roadway",2,8,Failure to reduce speed,0, ,35.261078,-80.843865,
1482248.05210601,554254.865231007,3964,863489,2018,1,January,14,1,Sunday,354,20180114035400,1,Ran off road right,2,30,Alcohol use,0, ,35.260496,-80.73454,
1462661.762731,546440.773356006,3965,790656,2016,4,April,30,7,Saturday,2053,20160430205300,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.238071,-80.799668,
1442863.40523101,472930.938981012,3966,906920,2018,8,August,12,1,Sunday,933,20180812093300,1,Ran off road right,1,32,Other*,0,None (no unusual conditions),35.035119,-80.861346,
1460795.82898101,572376.626481012,3967,773391,2016,6,June,23,5,Thursday,2054,20160623205400,30,Angle,1,2,Disregarded stop sign,0, ,35.3092287,-80.8074975,
1423647.39085601,529615.308981001,3968,1046273,2020,9,September,19,7,Saturday,748,20200919074800,2,Ran off road left,2,6,Exceeded authorized speed limit,0, ,35.189835,-80.929209,
1457649.53023101,481030.36210601,3969,814686,2017,2,February,12,1,Sunday,1215,20170212121500,30,Angle,1,4,Disregarded traffic signals,0, ,35.058122,-80.812452,
1456876.42148101,551457.777731001,3970,955409,2019,6,June,19,4,Wednesday,2256,20190619225600,21,"Rear end, slow or stop",2,6,Exceeded authorized speed limit,0, ,35.251564,-80.819348,
1445717.51585601,556768.203356013,3971,800632,2017,1,January,4,4,Wednesday,722,20170104072200,28,"Sideswipe, same direction",2,32,Other*,0,None (no unusual conditions),35.265585,-80.857052,
1493765.00023101,536241.038981006,3972,877580,2018,3,March,28,4,Wednesday,2116,20180328211600,14,Pedestrian,2,0, ,0, ,35.211554,-80.694934,
1423497.683981,525710.922731012,3973,819533,2017,4,April,27,5,Thursday,1645,20170425164500,30,Angle,2,2,Disregarded stop sign,0, ,35.179101,-80.929456,
1480402.13210601,542506.62773101,3974,767569,2016,6,June,10,6,Friday,2038,20160610203800,5,Overturn/rollover,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.228132,-80.740033,
1457409.27210601,556634.760856003,3975,784073,2016,10,October,1,7,Saturday,2027,20161001202700,3,Ran off road straight ahead,2,20,Inattention,0, ,35.265813,-80.817881,
1466319.337731,549348.965231001,3976,904785,2018,9,September,6,5,Thursday,2105,20180906210500,15,Pedalcyclist,2,0, ,0, ,35.246242,-80.787596,
1430541.78898101,549701.121481001,3977,762814,2016,5,May,7,7,Saturday,438,20160507043900,2,Ran off road left,1,32,Other*,0, ,35.24538,-80.907429,
1454956.89835601,582146.712731004,3978,909894,2018,4,April,23,2,Monday,2329,20180423232900,14,Pedestrian,1,0,No contributing circumstance indicated,0,None (no unusual conditions),35.335775,-80.827669,
1432247.572731,537323.664606005,3979,796231,2016,12,December,16,6,Friday,1931,20161216193100,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.211467,-80.900923,
1420831.33398101,556904.997731,3980,1045340,2020,9,September,11,6,Friday,1953,20200911195300,23,"Left turn, same roadway",1,6,Exceeded authorized speed limit,0, ,35.264653,-80.940418,
1468242.480231,533003.412106007,3981,1041400,2020,8,August,27,5,Thursday,2003,20200827200300,2,Ran off road left,2,14,Overcorrected/oversteered,0, ,35.201432,-80.780174,
1484576.024606,512947.035856009,3982,911730,2018,4,April,2,2,Monday,2249,20180402224900,21,"Rear end, slow or stop",2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.147124,-80.724339,
1408281.94398101,500087.072731003,3983,794059,2016,11,November,30,4,Wednesday,1704,20161130170400,23,"Left turn, same roadway",2,4,Disregarded traffic signals,0, ,35.107885,-80.978658,
1481747.36398101,516792.791481003,3984,1031883,2020,7,July,11,7,Saturday,1239,20200711123900,28,"Sideswipe, same direction",2,32,Other*,0, ,35.157554,-80.734025,
1430397.227106,510716.243981004,3985,822714,2017,5,May,23,3,Tuesday,1040,20170523104000,1,Ran off road right,2,7,Exceeded safe speed for conditions,0, ,35.138274,-80.905407,
1431978.25460601,570660.445856005,3986,932565,2019,2,February,9,7,Saturday,1305,20190209130500,13,Other non-collision*,2,32,Other*,0, ,35.303034,-80.903965,
1425864.870856,535488.932731003,3987,934142,2019,2,February,9,7,Saturday,1450,20190209145000,23,"Left turn, same roadway",2,4,Disregarded traffic signals,0, ,35.206089,-80.922169,
1420241.778356,509570.100856006,3988,940140,2019,3,March,26,3,Tuesday,1204,20190326120400,21,"Rear end, slow or stop",2,20,Inattention,0, ,35.134585,-80.939295,
1474080.78210601,509012.220856011,3989,1043693,2020,7,July,12,1,Sunday,2354,20200712235400,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.135808,-80.75921,
1420584.89210601,532575.805856004,3990,1066347,2020,12,December,24,5,Thursday,345,20201224034500,1,Ran off road right,2,8,Failure to reduce speed,0, ,35.197804,-80.939651,
1437414.67335601,538930.178981006,3991,1068610,2020,9,September,5,7,Saturday,1649,20200905164900,28,"Sideswipe, same direction",1,11,Crossed centerline/going wrong way,0, ,35.216151,-80.883729,
1482684.465856,533203.282106012,3992,904821,2018,9,September,8,7,Saturday,1536,20180908153600,21,"Rear end, slow or stop",2,32,Other*,0, ,35.202683,-80.731848,
1429603.90460601,542784.718356013,3993,973420,2019,8,August,17,7,Saturday,625,20190817062500,24,"Left turn, different roadways",1,4,Disregarded traffic signals,0, ,35.22633,-80.910124,
1466193.68960601,553728.392106012,3994,1050897,2020,9,September,4,6,Friday,2028,20200904202800,27,Head on,1,6,Exceeded authorized speed limit,0, ,35.258267,-80.788281,
1421945.150856,571322.728981003,3995,833512,2016,10,October,12,4,Wednesday,1316,20161012131600,24,"Left turn, different roadways",1,19,Failed to yield right of way,0,None (no unusual conditions),35.30432,-80.93763,
1447762.462731,557372.492731005,3996,759994,2016,4,April,21,5,Thursday,1535,20160421153500,1,Ran off road right,2,33,Unable to determine,0, ,35.26735,-80.85024,
1455026.65523101,529850.491481006,3997,883312,2018,4,April,27,6,Friday,1012,20180427101200,15,Pedalcyclist,2,19,Failed to yield right of way,0, ,35.192111,-80.824213,
1450776.39648101,510981.779606014,3998,939053,2018,11,November,13,3,Tuesday,1801,20181113180100,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.140059,-80.837268,
1436947.527731,516000.717106014,3999,969489,2019,1,January,11,6,Friday,1507,20190111150700,1,Ran off road right,1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.153135,-80.883836,
1485023.98585601,533340.186481014,4000,779469,2016,7,July,30,7,Saturday,215,20160730021500,14,Pedestrian,1,0, ,0, ,35.203171,-80.7240254,
1424447.825231,548195.715231001,4001,924738,2018,11,November,14,4,Wednesday,158,20181114015800,14,Pedestrian,1,0, ,0, ,35.240921,-80.927738,
1433471.59773101,551046.412731007,4002,769252,2016,4,April,23,7,Saturday,2137,20160423213700,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.24923,-80.897704,
1471198.52210601,563007.782106012,4003,988761,2019,12,December,2,2,Monday,2345,20191202234500,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.284006,-80.772073,
1491709.07710601,570611.631481007,4004,840714,2017,8,August,30,4,Wednesday,1426,20170830142600,14,Pedestrian,2,22,Improper parking,0, ,35.305882,-80.703791,
1472955.73773101,574147.833356008,4005,813947,2017,3,March,16,5,Thursday,1602,20170316160200,21,"Rear end, slow or stop",1,20,Inattention,0, ,35.314696,-80.76685,
1461273.08335601,534163.72210601,4006,1052573,2020,10,October,16,6,Friday,2120,20201016212500,14,Pedestrian,2,31,Drug use,0, ,35.204274,-80.803571,
1477111.372106,540240.713356003,4007,796994,2016,12,December,18,1,Sunday,411,20161218041100,24,"Left turn, different roadways",2,0,No contributing circumstance indicated,0, ,35.221748,-80.750917,
1426743.653356,547016.949606001,4008,831292,2017,7,July,11,3,Tuesday,1425,20170711142500,23,"Left turn, same roadway",2,19,Failed to yield right of way,0, ,35.237805,-80.919974,
1439138.72585601,557570.537106007,4009,925582,2019,1,January,1,3,Tuesday,100,20190101010000,14,Pedestrian,2,0, ,0, ,35.267449,-80.879139,
1479471.12773101,518334.496481001,4010,768845,2016,6,June,17,6,Friday,717,20160617071700,21,"Rear end, slow or stop",1,25,Followed too closely,0, ,35.16168,-80.74173,
1464323.03710601,545808.998981014,4011,883632,2018,4,April,11,4,Wednesday,850,20180411085000,6,Crossed centerline/median,1,14,Overcorrected/oversteered,0, ,35.236418,-80.794067,
1434768.19273101,549655.513981014,4012,865484,2018,1,January,25,5,Thursday,1829,20180125182900,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.245477,-80.893273,
1424134.35835601,557542.068356007,4013,927695,2019,1,January,12,7,Saturday,1439,20190112143900,27,Head on,2,11,Crossed centerline/going wrong way,0, ,35.26658,-80.929396,
1440458.83085601,530926.988356009,4014,865443,2017,12,December,15,6,Friday,2350,20171215235000,21,"Rear end, slow or stop",1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.194323,-80.873033,
1457798.323356,556490.770856008,4015,907408,2018,8,August,26,1,Sunday,2117,20180826211700,14,Pedestrian,1,0, ,0, ,35.265437,-80.816569,
1476668.22523101,581641.332731009,4016,1019962,2020,5,May,14,5,Thursday,1600,20200514160200,14,Pedestrian,2,20,Inattention,0, ,35.335463,-80.754851,
1418987.369606,578440.425856009,4017,899525,2018,8,August,6,2,Monday,1725,20180806172500,14,Pedestrian,2,20,Inattention,0, ,35.323714,-80.94801,
1453144.743356,553698.813981012,4018,837012,2017,8,August,14,2,Monday,1332,20170814133200,2,Ran off road left,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.257532,-80.831984,
1495793.45710601,537350.877106011,4019,897866,2018,7,July,28,7,Saturday,1530,20180728153000,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.214698,-80.688207,
1465817.77335601,530640.578356013,4020,1073374,2020,7,July,17,6,Friday,2355,20200717235500,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.194821,-80.788147,
1469616.825231,503225.485231012,4021,817581,2017,4,April,17,2,Monday,1213,20170417121300,60,Mailbox,2,32,Other*,0, ,35.119692,-80.773793,
1409608.39085601,569276.432731003,4022,877399,2018,3,March,27,3,Tuesday,1536,20180327153600,1,Ran off road right,1,20,Inattention,0, ,35.29803,-80.978835,
1437378.54710601,559598.703981012,4023,1026345,2020,6,June,18,5,Thursday,704,20200618070400,21,"Rear end, slow or stop",2,20,Inattention,0, ,35.272929,-80.885164,
1489283.477731,521308.133356005,4024,829763,2017,7,July,2,1,Sunday,2214,20170702221400,1,Ran off road right,2,30,Alcohol use,0, ,35.170318,-80.709075,
1417835.64460601,576855.170856014,4025,858571,2017,12,December,11,2,Monday,1250,20171211125000,14,Pedestrian,1,20,Inattention,0, ,35.319297,-80.951766,
1425261.493981,544031.260231003,4026,832182,2017,3,March,26,1,Sunday,449,20170326044900,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.229524,-80.924743,
1476060.56898101,525239.298981011,4027,1031041,2020,7,July,7,3,Tuesday,1549,20200707154900,28,"Sideswipe, same direction",2,19,Failed to yield right of way,0, ,35.180358,-80.753733,
1436953.857106,547568.524606004,4028,885719,2017,10,October,30,2,Monday,2128,20171030212800,23,"Left turn, same roadway",1,6,Exceeded authorized speed limit,0, ,35.239858,-80.885821,
1455590.95960601,540564.077106014,4029,801565,2016,10,October,1,7,Saturday,1639,20161001163900,21,"Rear end, slow or stop",1,8,Failure to reduce speed,0, ,35.221572,-80.822983,
1454844.48523101,533285.311481014,4030,774165,2016,7,July,26,3,Tuesday,1300,20160726131300,21,"Rear end, slow or stop",2,8,Failure to reduce speed,0, ,35.201538,-80.825034,
1450547.25273101,582672.698356003,4031,1039586,2020,6,June,16,3,Tuesday,435,20200616043500,2,Ran off road left,1,6,Exceeded authorized speed limit,0, ,35.336996,-80.842485,
1470441.86648101,479415.261481002,4032,864346,2018,1,January,19,6,Friday,451,20180119045100,21,"Rear end, slow or stop",2,8,Failure to reduce speed,0,None (no unusual conditions),35.054319,-80.769615,
1403469.371481,504573.754606009,4033,1065465,2020,10,October,9,6,Friday,608,20201009060800,2,Ran off road left,1,6,Exceeded authorized speed limit,0, ,35.119946,-80.995048,
1490376.07710601,540702.020856008,4034,1067867,2020,12,December,31,5,Thursday,1901,20201231190100,27,Head on,1,7,Exceeded safe speed for conditions,0, ,35.22365,-80.706535,
1466943.22148101,549884.835856006,4035,972054,2019,8,August,29,5,Thursday,2248,20190082922500,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.247745,-80.785539,
1474975.012731,585247.707106009,4036,845916,2017,7,July,30,1,Sunday,1753,20170730175300,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.345288,-80.760742,
1474153.75710601,509063.707106009,4037,1067610,2020,12,December,27,1,Sunday,2129,20201227212900,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.135953,-80.758969,
1447316.743981,484011.621481001,4038,893580,2018,6,June,29,6,Friday,2040,20180629204100,2,Ran off road left,2,8,Failure to reduce speed,0, ,35.065789,-80.84716,
1478183.41273101,514291.270231009,4039,764178,2016,4,April,21,5,Thursday,53,20160421005300,1,Ran off road right,1,6,Exceeded authorized speed limit,0,None (no unusual conditions),35.15051,-80.7458,
1434826.13210601,525210.404606014,4040,789532,2016,11,November,9,4,Wednesday,2142,20161109214200,14,Pedestrian,2,8,Failure to reduce speed,0, ,35.178325,-80.891519,
1476920.48335601,555736.751481012,4041,1051716,2020,8,August,5,4,Wednesday,1811,20200805181100,2,Ran off road left,1,6,Exceeded authorized speed limit,0, ,35.26431,-80.752472,
1447036.85023101,549652.272731006,4042,901944,2018,5,May,28,2,Monday,1704,20180528170400,2,Ran off road left,1,34,Unknown,0, ,35.246104,-80.852188,
1444225.52960601,492006.717106014,4043,899834,2018,8,August,9,5,Thursday,1832,20180809183200,24,"Left turn, different roadways",2,19,Failed to yield right of way,0, ,35.087595,-80.857989,
1464820.60773101,548952.292731002,4044,900541,2018,8,August,5,1,Sunday,103,20180805010300,29,"Sideswipe, opposite direction",1,6,Exceeded authorized speed limit,0, ,35.245078,-80.792591,
1464137.700231,591185.686481014,4045,849609,2017,3,March,3,6,Friday,1518,20170303151800,23,"Left turn, same roadway",1,6,Exceeded authorized speed limit,0, ,35.361067,-80.797439,
1433670.356481,542022.765231013,4046,1018142,2020,3,March,8,1,Sunday,333,20200308033300,23,"Left turn, same roadway",1,30,Alcohol use,0, ,35.224451,-80.896461,
1452974.33148101,544918.813981012,4047,960033,2019,7,July,8,2,Monday,204,20190708050500,3,Ran off road straight ahead,2,8,Failure to reduce speed,0, ,35.233403,-80.832012,
1439587.92210601,549182.489606008,4048,1002495,2019,9,September,13,6,Friday,612,20190913061200,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.244429,-80.877103,
1439735.24023101,555314.751481012,4049,973427,2019,9,September,15,1,Sunday,100,20190915010000,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.261283,-80.876998,
1463168.21898101,580872.588356003,4050,969980,2019,9,September,7,7,Saturday,1012,20190907101200,2,Ran off road left,2,14,Overcorrected/oversteered,0, ,35.332687,-80.800063,
1474792.12835601,487472.921481013,4051,868333,2018,2,February,9,6,Friday,1930,20180209193000,14,Pedestrian,2,0, ,0, ,35.076668,-80.755557,
1409015.89398101,569704.692106009,4052,1059798,2020,11,November,22,1,Sunday,1741,20201122174100,29,"Sideswipe, opposite direction",2,11,Crossed centerline/going wrong way,0, ,35.299174,-80.980849,
1452398.39335601,544475.896481007,4053,1002733,2020,2,February,2,1,Sunday,2000,20200202000300,22,"Rear end, turn",2,0,No contributing circumstance indicated,0, ,35.232157,-80.833913,
1451583.792731,556762.773356006,4054,807413,2017,1,January,23,2,Monday,721,20170123072100,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.26587,-80.837402,
1486082.087106,569943.251481012,4055,1005903,2020,2,February,1,7,Saturday,1920,20200201191900,14,Pedestrian,1,20,Inattention,0, ,35.303779,-80.72261,
1458554.463981,550752.198981002,4056,749108,2016,1,January,27,4,Wednesday,1606,20160127160600,31,Backing up,2,20,Inattention,0, ,35.24971,-80.813685,
1462584.383356,533884.39398101,4057,805513,2017,2,February,18,7,Saturday,1003,20170218100300,2,Ran off road left,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.203572,-80.799165,
1403961.75773101,492927.857106,4058,771686,2016,5,May,2,2,Monday,713,20160502071300,27,Head on,1,6,Exceeded authorized speed limit,0, ,35.08798,-80.99262,
1482019.16148101,516522.691481009,4059,1033867,2020,7,July,18,7,Saturday,2305,20200718230500,6,Crossed centerline/median,1,30,Alcohol use,0, ,35.156825,-80.7331,
1467492.89085601,553636.217106014,4060,755902,2016,3,March,12,7,Saturday,143,20160312014300,14,Pedestrian,2,0, ,0, ,35.258078,-80.783924,
1405263.31898101,517524.285231009,4061,846049,2017,10,October,6,6,Friday,1537,20171006153700,30,Angle,2,19,Failed to yield right of way,0, ,35.155622,-80.989918,
